year,sex,age,marital_status,accidents,income,score,premium,treatment,adjusted_premium,retention_prob,retained
2020,m,19,single,3,60480,4.5,387.71,-0.1,348.94,0.337,False
2020,m,55,married,4,56307,3.2,333.74,-0.1,300.37,0.569,True
2020,m,63,married,1,53034,2.5,303.24,0.1,333.56,0.507,True
2020,m,66,married,2,46360,2.0,282.14,0,282.14,0.502,True
2020,m,66,married,3,57482,3.0,325.0,0.1,357.5,0.441,False
2020,f,69,married,2,56302,2.0,282.14,0.2,338.57,0.566,True
2020,m,53,married,0,39947,1.2,251.17,0.1,276.29,0.437,False
2020,m,63,married,1,40386,2.0,282.14,0,282.14,0.663,True
2020,m,32,single,1,62518,3.5,346.76,0.1,381.44,0.347,False
2020,m,41,single,1,41359,2.7,311.9,-0.1,280.71,0.486,False
2020,m,52,single,4,63358,3.7,355.32,0,355.32,0.602,True
2020,f,67,married,3,57532,2.5,303.24,0.1,333.56,0.558,True
2020,f,35,married,5,48282,2.5,303.24,0.1,333.56,0.595,False
2020,m,59,married,5,45489,2.7,311.9,0,311.9,0.708,True
2020,f,26,single,1,52063,3.0,325.0,0.2,390.0,0.408,True
2020,f,41,married,5,54815,2.7,311.9,-0.1,280.71,0.506,True
2020,m,25,single,4,67753,4.0,367.86,-0.1,331.07,0.416,False
2020,f,42,single,1,56517,2.7,311.9,-0.1,280.71,0.507,True
2020,m,61,single,3,37891,3.0,325.0,0.1,357.5,0.585,True
2020,m,36,single,-2,62110,2.5,303.24,0.1,333.56,0.455,True
2020,m,50,single,4,48881,3.2,333.74,0,333.74,0.527,False
2020,m,41,single,-1,50747,2.2,290.46,-0.1,261.41,0.47,True
2020,f,49,married,6,46149,2.2,290.46,0.1,319.51,0.661,True
2020,m,21,single,2,53336,3.5,346.76,0.1,381.44,0.388,True
2020,f,70,married,3,37998,2.0,282.14,0,282.14,0.609,False
2020,f,53,married,0,52637,1.2,251.17,0,251.17,0.63,True
2020,m,63,married,5,54559,3.0,325.0,0.1,357.5,0.557,False
2020,f,51,married,3,58637,2.7,311.9,-0.1,280.71,0.725,False
2020,m,55,married,2,54366,2.7,311.9,-0.1,280.71,0.703,False
2020,m,22,single,3,52040,4.0,367.86,-0.1,331.07,0.363,True
2020,m,35,single,3,60194,4.0,367.86,-0.1,331.07,0.467,False
2020,f,33,single,3,48920,3.0,325.0,-0.1,292.5,0.375,False
2020,f,40,single,-1,58325,1.7,270.05,-0.1,243.05,0.439,True
2020,m,43,single,3,50430,3.7,355.32,0,355.32,0.436,False
2020,m,30,single,3,59911,4.0,367.86,-0.1,331.07,0.416,False
2020,f,33,single,6,63287,3.5,346.76,-0.1,312.08,0.46,False
