year,sex,age,marital_status,accidents,income,score,premium,treatment,adjusted_premium,retention_prob,retained
2020,m,19,single,0,28289,2.5,303.24,-0.1,272.92,0.813,True
2020,f,20,single,0,76237,1.0,244.13,-0.1,219.72,0.851,True
2020,f,32,single,0,10851,1.5,262.29,0,262.29,0.679,True
2020,f,24,single,0,55082,1.0,244.13,-0.1,219.72,0.864,True
2020,m,64,married,0,59615,0.5,227.95,-0.1,205.16,0.883,True
2020,f,54,married,0,96673,0.2,219.24,0,219.24,0.87,True
2020,m,32,single,0,69429,1.5,262.29,0.1,288.52,0.594,False
2020,m,56,married,1,42087,2.2,290.46,0,290.46,0.857,True
2020,f,58,married,0,52504,0.2,219.24,-0.1,197.32,0.892,True
2020,f,22,single,3,51245,2.5,303.24,0,303.24,0.838,True
2020,f,59,married,0,42325,0.7,234.17,0.1,257.59,0.77,True
2020,f,32,single,0,74686,1.0,244.13,-0.1,219.72,0.868,True
2020,m,25,single,0,99192,1.5,262.29,0.2,314.75,0.254,False
2020,f,51,married,1,11504,1.7,270.05,-0.1,243.05,0.874,True
2020,f,67,married,0,66985,0,213.85,0,213.85,0.849,False
2020,f,50,single,1,23947,2.2,290.46,0.1,319.51,0.748,False
2020,m,27,single,0,79514,1.5,262.29,0.1,288.52,0.636,True
2020,m,41,single,2,50306,2.2,290.46,0,290.46,0.813,True
2020,m,23,single,2,79822,2.5,303.24,0,303.24,0.788,True
2020,f,51,single,0,37760,1.2,251.17,0,251.17,0.849,True
2020,f,60,married,0,77839,0,213.85,0,213.85,0.865,True
2020,m,55,married,1,10942,2.2,290.46,-0.1,261.41,0.869,True
2020,m,32,married,0,53309,1.0,244.13,-0.1,219.72,0.873,True
2020,m,64,single,1,71953,2.0,282.14,0,282.14,0.838,True
2020,f,30,single,1,56438,2.0,282.14,0.2,338.57,0.267,True
2020,m,21,single,0,24322,2.0,282.14,0,282.14,0.764,True
2020,f,26,single,0,42742,1.5,262.29,-0.1,236.06,0.849,True
2020,m,59,single,2,22224,2.7,311.9,0,311.9,0.829,True
2020,f,48,married,0,17685,0.7,234.17,0,234.17,0.756,True
2020,f,36,single,4,82845,2.5,303.24,0.2,363.89,0.668,True
2020,f,31,single,1,81066,2.0,282.14,-0.1,253.93,0.881,True
2020,m,21,single,0,34356,2.0,282.14,0,282.14,0.707,True
2020,m,61,single,0,84668,1.0,244.13,0,244.13,0.843,True
2020,f,34,single,2,41285,2.5,303.24,0.1,333.56,0.623,True
2020,f,47,married,2,19508,1.7,270.05,-0.1,243.05,0.885,True
2020,m,22,single,1,27361,3.0,325.0,0.1,357.5,0.514,False
2020,m,41,single,0,81200,1.2,251.17,0.1,276.29,0.572,False
2020,m,60,single,0,96951,1.0,244.13,0,244.13,0.801,True
2020,m,34,married,0,82512,1.0,244.13,0,244.13,0.832,True
