year,sex,age,marital_status,accidents,income,score,premium,treatment,adjusted_premium,retention_prob,retained
2020,m,19,single,0,28289,2.5,303.24,-0.1,272.92,0.437,False
2020,m,55,married,0,38657,1.2,251.17,0,251.17,0.669,False
2020,m,53,married,1,81426,1.7,270.05,0.2,324.06,0.721,True
2020,m,46,single,2,10851,2.7,311.9,0,311.9,0.353,False
2020,f,39,single,0,54118,1.0,244.13,-0.1,219.72,0.525,False
2020,m,42,married,2,89131,1.7,270.05,0.2,324.06,0.508,True
2020,f,69,married,0,26361,0.5,227.95,0.2,273.54,0.638,True
2020,m,53,married,1,57400,1.7,270.05,0,270.05,0.545,True
2020,m,20,single,2,20458,3.0,325.0,0,325.0,0.283,False
2020,m,42,single,1,57819,2.2,290.46,0,290.46,0.494,False
2020,f,40,married,0,99593,0.2,219.24,-0.1,197.32,0.586,True
2020,m,52,single,0,59735,1.2,251.17,0.1,276.29,0.496,True
2020,m,61,married,2,17331,2.0,282.14,0,282.14,0.598,True
2020,m,69,married,0,37653,1.0,244.13,0.1,268.54,0.551,True
2020,m,59,married,3,94259,2.2,290.46,0.2,348.55,0.664,True
2020,m,34,single,2,80644,2.5,303.24,0.1,333.56,0.454,True
2020,f,55,married,0,28131,0.7,234.17,0.2,281.0,0.677,True
2020,m,66,married,0,92240,0.5,227.95,0,227.95,0.782,True
2020,f,56,married,0,71348,0.2,219.24,0.1,241.16,0.657,False
2020,m,61,married,1,80381,1.5,262.29,0.1,288.52,0.712,True
2020,f,25,single,0,10425,1.5,262.29,0.1,288.52,0.424,False
2020,m,50,single,3,49117,3.2,333.74,0,333.74,0.43,True
2020,m,41,single,1,79514,2.2,290.46,0,290.46,0.564,True
2020,m,56,married,0,57576,0.7,234.17,0.1,257.59,0.708,True
2020,m,21,single,1,20322,3.0,325.0,0,325.0,0.297,False
2020,m,64,married,0,79822,0.5,227.95,0,227.95,0.669,True
2020,m,60,married,1,44741,2.0,282.14,0.2,338.57,0.412,True
2020,m,52,single,1,50857,2.2,290.46,0,290.46,0.472,False
2020,f,60,married,0,77839,0,213.85,0.2,256.62,0.593,True
2020,m,33,single,0,87110,1.5,262.29,0,262.29,0.421,False
2020,m,18,single,1,40007,3.5,346.76,-0.1,312.08,0.242,True
2020,m,39,married,0,97684,1.0,244.13,0.2,292.96,0.59,True
2020,m,52,married,3,84847,2.2,290.46,0.2,348.55,0.674,True
2020,f,33,single,2,34957,2.5,303.24,-0.1,272.92,0.541,False
2020,m,60,married,0,71213,0.5,227.95,0,227.95,0.682,True
2020,m,61,married,1,17944,2.0,282.14,0,282.14,0.429,False
2020,f,64,married,3,42591,2.0,282.14,0,282.14,0.698,False
2020,m,52,married,0,46509,1.2,251.17,0,251.17,0.455,True
2020,f,33,single,0,82132,1.0,244.13,-0.1,219.72,0.628,True
