treatment,sex,age,marital_status,income,accidents,retention,number_of_clients
,,,,,,0.5156666666666667,12000
,,,,,low,0.5186666666666667,6000
,,,,,medium,0.500709219858156,4230
,,,,,high,0.5412429378531074,1770
,,,,<20k,,0.4348148148148148,1350
,,,,<20k,low,0.4397677793904209,689
,,,,<20k,medium,0.3950892857142857,448
,,,,<20k,high,0.5023474178403756,213
,,,,20k-50k,,0.46298200514138815,3890
,,,,20k-50k,low,0.4549813532232286,1877
,,,,20k-50k,medium,0.4619718309859155,1420
,,,,20k-50k,high,0.49072512647554806,593
,,,,50k-80k,,0.5437856611262714,4031
,,,,50k-80k,low,0.557978196233895,2018
,,,,50k-80k,medium,0.5182072829131653,1428
,,,,50k-80k,high,0.5572649572649573,585
,,,,80k+,,0.5892268230120924,2729
,,,,80k+,low,0.58545197740113,1416
,,,,80k+,medium,0.5835117773019272,934
,,,,80k+,high,0.6174142480211082,379
,,,married,,,0.5919016323934704,4717
,,,married,,low,0.5796178343949044,2355
,,,married,,medium,0.5887290167865707,1668
,,,married,,high,0.6412103746397695,694
,,,married,<20k,,0.4899817850637523,549
,,,married,<20k,low,0.486013986013986,286
,,,married,<20k,medium,0.4602272727272727,176
,,,married,<20k,high,0.5632183908045977,87
,,,married,20k-50k,,0.5439632545931758,1524
,,,married,20k-50k,low,0.5179558011049724,724
,,,married,20k-50k,medium,0.5531914893617021,564
,,,married,20k-50k,high,0.6016949152542372,236
,,,married,50k-80k,,0.6229404309252218,1578
,,,married,50k-80k,low,0.6321695760598504,802
,,,married,50k-80k,medium,0.5964285714285714,560
,,,married,50k-80k,high,0.6574074074074074,216
,,,married,80k+,,0.6669793621013134,1066
,,,married,80k+,low,0.6335174953959485,543
,,,married,80k+,medium,0.6929347826086957,368
,,,married,80k+,high,0.7225806451612903,155
,,,single,,,0.4662913634491281,7283
,,,single,,low,0.4792866941015089,3645
,,,single,,medium,0.44340359094457454,2562
,,,single,,high,0.4767657992565056,1076
,,,single,<20k,,0.3970037453183521,801
,,,single,<20k,low,0.40694789081885857,403
,,,single,<20k,medium,0.35294117647058826,272
,,,single,<20k,high,0.4603174603174603,126
,,,single,20k-50k,,0.41081994928148774,2366
,,,single,20k-50k,low,0.41543798785776237,1153
,,,single,20k-50k,medium,0.40186915887850466,856
,,,single,20k-50k,high,0.4173669467787115,357
,,,single,50k-80k,,0.49286587851610275,2453
,,,single,50k-80k,low,0.509046052631579,1216
,,,single,50k-80k,medium,0.46774193548387094,868
,,,single,50k-80k,high,0.4986449864498645,369
,,,single,80k+,,0.539386650631389,1663
,,,single,80k+,low,0.5555555555555556,873
,,,single,80k+,medium,0.5123674911660777,566
,,,single,80k+,high,0.5446428571428571,224
,,<20,,,,0.3837953091684435,469
,,<20,,,low,0.40707964601769914,226
,,<20,,,medium,0.366120218579235,183
,,<20,,,high,0.35,60
,,<20,,<20k,,0.25,52
,,<20,,<20k,low,0.28125,32
,,<20,,<20k,medium,0.2,15
,,<20,,<20k,high,0.2,5
,,<20,,20k-50k,,0.323943661971831,142
,,<20,,20k-50k,low,0.3333333333333333,60
,,<20,,20k-50k,medium,0.3387096774193548,62
,,<20,,20k-50k,high,0.25,20
,,<20,,50k-80k,,0.3986013986013986,143
,,<20,,50k-80k,low,0.43478260869565216,69
,,<20,,50k-80k,medium,0.34545454545454546,55
,,<20,,50k-80k,high,0.42105263157894735,19
,,<20,,80k+,,0.48484848484848486,132
,,<20,,80k+,low,0.5076923076923077,65
,,<20,,80k+,medium,0.47058823529411764,51
,,<20,,80k+,high,0.4375,16
,,<20,married,,,0.5,10
,,<20,married,,low,0.6,5
,,<20,married,,medium,0.5,4
,,<20,married,,high,0.0,1
,,<20,married,<20k,,0.0,1
,,<20,married,<20k,low,0.0,1
,,<20,married,<20k,medium,nan,0
,,<20,married,<20k,high,nan,0
,,<20,married,20k-50k,,0.5,2
,,<20,married,20k-50k,low,0.5,2
,,<20,married,20k-50k,medium,nan,0
,,<20,married,20k-50k,high,nan,0
,,<20,married,50k-80k,,0.4,5
,,<20,married,50k-80k,low,1.0,1
,,<20,married,50k-80k,medium,0.3333333333333333,3
,,<20,married,50k-80k,high,0.0,1
,,<20,married,80k+,,1.0,2
,,<20,married,80k+,low,1.0,1
,,<20,married,80k+,medium,1.0,1
,,<20,married,80k+,high,nan,0
,,<20,single,,,0.3812636165577342,459
,,<20,single,,low,0.40271493212669685,221
,,<20,single,,medium,0.36312849162011174,179
,,<20,single,,high,0.3559322033898305,59
,,<20,single,<20k,,0.2549019607843137,51
,,<20,single,<20k,low,0.2903225806451613,31
,,<20,single,<20k,medium,0.2,15
,,<20,single,<20k,high,0.2,5
,,<20,single,20k-50k,,0.32142857142857145,140
,,<20,single,20k-50k,low,0.3275862068965517,58
,,<20,single,20k-50k,medium,0.3387096774193548,62
,,<20,single,20k-50k,high,0.25,20
,,<20,single,50k-80k,,0.39855072463768115,138
,,<20,single,50k-80k,low,0.4264705882352941,68
,,<20,single,50k-80k,medium,0.34615384615384615,52
,,<20,single,50k-80k,high,0.4444444444444444,18
,,<20,single,80k+,,0.47692307692307695,130
,,<20,single,80k+,low,0.5,64
