year,sex,age,marital_status,accidents,income,score,premium,treatment,adjusted_premium,retention_prob,retained
2020,m,19,single,2,66439,4.0,367.86,-0.1,331.07,0.291,False
2020,m,55,married,3,53922,3.2,333.74,-0.1,300.37,0.479,False
2020,m,63,married,0,44101,1.0,244.13,0.1,268.54,0.605,True
2020,m,66,married,1,24079,2.0,282.14,0,282.14,0.486,False
2020,m,66,married,2,57446,2.5,303.24,0.1,333.56,0.533,True
2020,f,69,married,0,53907,1.0,244.13,0.2,292.96,0.528,True
2020,m,53,married,0,4842,1.7,270.05,0.1,297.06,0.562,True
2020,m,63,married,0,6157,1.5,262.29,-0.1,236.06,0.647,False
2020,m,24,single,0,66409,2.5,303.24,0,303.24,0.474,False
2020,f,40,married,1,120073,2.2,290.46,-0.1,261.41,0.544,False
2020,m,52,single,3,75075,3.7,355.32,0,355.32,0.525,True
2020,f,67,married,2,57597,2.0,282.14,0.1,310.35,0.678,False
2020,f,35,married,4,29846,2.5,303.24,0.1,333.56,0.635,True
2020,m,59,married,4,21466,2.7,311.9,0,311.9,0.579,True
2020,f,26,single,0,41190,1.5,262.29,0.2,314.75,0.402,True
2020,f,41,married,4,49446,2.2,290.46,-0.1,261.41,0.572,True
2020,m,25,single,4,88260,4.0,367.86,-0.1,331.07,0.342,False
2020,f,42,single,0,54552,1.7,270.05,-0.1,243.05,0.495,False
2020,m,61,single,2,0,3.0,325.0,0.1,357.5,0.534,True
2020,m,36,single,0,71329,2.5,303.24,0,303.24,0.452,True
2020,f,50,single,0,49313,1.2,251.17,0.1,276.29,0.683,True
2020,m,27,single,5,113132,4.0,367.86,-0.1,331.07,0.522,False
2020,m,56,married,7,58425,3.2,333.74,-0.1,300.37,0.694,True
2020,f,33,married,6,0,3.0,325.0,-0.1,292.5,0.487,True
2020,f,70,married,2,0,2.0,282.14,0,282.14,0.702,True
2020,f,53,married,0,42911,0.7,234.17,0,234.17,0.6,False
2020,m,63,married,5,48676,2.5,303.24,0.2,363.89,0.775,True
2020,f,25,single,2,52422,3.0,325.0,0,325.0,0.537,True
2020,m,18,single,0,34128,2.5,303.24,-0.1,272.92,0.47,False
2020,f,22,single,1,84030,3.0,325.0,0,325.0,0.622,True
2020,f,33,single,2,31760,2.5,303.24,-0.1,272.92,0.443,False
2020,f,40,single,0,59974,1.7,270.05,-0.1,243.05,0.557,False
2020,m,21,single,0,100522,2.5,303.24,0,303.24,0.391,True
2020,m,30,single,3,64732,4.0,367.86,0.2,441.43,0.403,True
2020,m,22,single,4,20981,3.5,346.76,-0.1,312.08,0.414,False
2020,m,23,single,2,35275,3.0,325.0,0.2,390.0,0.326,False
2020,f,31,single,3,39648,3.0,325.0,-0.1,292.5,0.556,True
2020,f,34,single,2,26010,2.5,303.24,-0.1,272.92,0.466,False
2020,f,27,single,2,60201,3.0,325.0,0,325.0,0.386,True
2020,m,65,married,4,60581,3.0,325.0,0,325.0,0.47,True
2020,m,50,married,3,87103,3.2,333.74,0,333.74,0.603,True
2020,f,25,single,0,33273,1.5,262.29,0.2,314.75,0.5,True
2020,m,57,married,0,17654,1.7,270.05,0.1,297.06,0.48,True
2020,f,34,single,1,28342,2.5,303.24,-0.1,272.92,0.353,False
2020,f,26,single,1,74875,3.0,325.0,0,325.0,0.535,True
2020,m,18,single,10,49030,4.0,367.86,-0.1,331.07,0.59,True
2020,m,50,married,6,24804,2.7,311.9,0,311.9,0.658,True
2020,m,41,single,0,64222,2.2,290.46,0.1,319.51,0.407,True
2020,m,60,single,0,92157,2.0,282.14,0,282.14,0.588,False
2020,f,25,single,1,32581,2.5,303.24,-0.1,272.92,0.406,True
2020,f,56,married,0,88183,1.2,251.17,0.1,276.29,0.711,True
2020,f,34,single,2,39132,2.5,303.24,-0.1,272.92,0.507,True
2020,f,35,married,1,63747,2.5,303.24,0.1,333.56,0.517,True
2020,m,65,married,1,12994,2.5,303.24,-0.1,272.92,0.429,False
2020,m,62,single,0,33920,1.5,262.29,0,262.29,0.501,True
2020,f,26,married,0,102436,1.5,262.29,-0.1,236.06,0.593,True
2020,f,31,single,0,25703,1.5,262.29,0.2,314.75,0.418,True
2020,f,57,single,3,40083,2.7,311.9,0,311.9,0.588,True
2020,m,44,married,1,23138,2.2,290.46,0.2,348.55,0.523,True
2020,m,35,single,1,21910,3.0,325.0,0.2,390.0,0.329,False
2020,m,48,married,3,19555,3.2,333.74,0.1,367.11,0.349,False
2020,m,32,married,2,75071,3.0,325.0,-0.1,292.5,0.441,False
2020,f,40,single,0,99834,1.7,270.05,0.1,297.06,0.567,True
2020,m,25,single,1,89450,3.5,346.76,0.1,381.44,0.364,True
2020,m,24,single,0,93471,2.5,303.24,0,303.24,0.502,False
2020,f,56,single,6,92724,3.2,333.74,0,333.74,0.609,True
2020,f,20,single,7,50727,3.5,346.76,0,346.76,0.506,False
2020,f,45,married,0,26947,0.7,234.17,0,234.17,0.506,True
2020,f,60,single,1,25102,2.0,282.14,0.1,310.35,0.473,False
2020,f,38,single,1,65015,3.0,325.0,0,325.0,0.544,True
2020,f,60,single,0,0,1.5,262.29,0.1,288.52,0.571,True
2020,f,53,single,1,69439,2.7,311.9,0.1,343.09,0.459,False
2020,f,46,single,2,83086,2.7,311.9,0,311.9,0.58,True
2020,m,36,single,0,29900,2.0,282.14,0,282.14,0.38,False
2020,f,32,single,2,57375,3.0,325.0,0,325.0,0.395,False
2020,f,57,single,4,63712,3.2,333.74,0,333.74,0.538,False
2020,f,49,married,4,86609,2.7,311.9,-0.1,280.71,0.672,False
2020,f,32,single,4,40539,3.0,325.0,-0.1,292.5,0.526,False
2020,m,53,married,3,22998,2.7,311.9,0,311.9,0.514,True
2020,f,60,married,0,40516,0.5,227.95,0.2,273.54,0.601,False
2020,f,53,married,4,100196,2.7,311.9,-0.1,280.71,0.668,True
2020,f,34,single,3,29574,3.0,325.0,-0.1,292.5,0.426,False
2020,f,58,married,0,67498,1.2,251.17,0,251.17,0.704,False
2020,f,39,single,0,45913,1.5,262.29,0.2,314.75,0.534,True
2020,m,42,single,1,39476,2.7,311.9,0.2,374.28,0.352,False
2020,f,52,married,6,71640,2.7,311.9,0.2,374.28,0.659,True
2020,m,66,married,0,60342,1.5,262.29,0.1,288.52,0.628,True
2020,f,44,single,1,0,2.7,311.9,0,311.9,0.499,False
2020,f,32,single,0,52682,2.0,282.14,0.2,338.57,0.507,False
2020,m,47,single,5,45520,3.2,333.74,0.2,400.49,0.571,False
2020,m,23,single,3,75142,4.0,367.86,0.2,441.43,0.369,True
2020,m,34,single,2,75920,3.5,346.76,0.2,416.11,0.368,True
2020,f,66,single,0,76940,1.5,262.29,0.2,314.75,0.539,False
2020,m,65,married,4,49984,2.5,303.24,0.2,363.89,0.71,True
2020,m,67,single,2,51885,3.0,325.0,0,325.0,0.64,False
2020,m,19,single,2,83896,4.0,367.86,-0.1,331.07,0.395,False
2020,m,47,single,2,31920,2.7,311.9,0.2,374.28,0.413,False
2020,m,67,married,3,46845,2.5,303.24,0.2,363.89,0.522,False
2020,m,37,single,4,34103,3.5,346.76,-0.1,312.08,0.411,False
2020,m,22,single,2,30429,3.0,325.0,0.2,390.0,0.277,False
2020,f,61,married,7,109405,2.5,303.24,-0.1,272.92,0.768,True
2020,f,52,married,0,75883,1.2,251.17,0,251.17,0.501,False
2020,f,18,single,2,37269,3.0,325.0,0.1,357.5,0.454,True
2020,f,63,married,3,82584,2.5,303.24,-0.1,272.92,0.554,True
2020,f,57,single,0,41808,1.2,251.17,0.1,276.29,0.657,True
2020,f,70,married,1,108222,2.0,282.14,-0.1,253.93,0.682,True
