treatment,sex,age,marital_status,income,accidents,retention,number_of_clients
,,,,,,0.5135833333333333,12000
,,,,,0,0.5189094107299912,1137
,,,,,1,0.5024916943521595,4816
,,,,,5,0.5214155779725483,6047
,,,,0,,0.6666666666666666,3
,,,,0,0,nan,0
,,,,0,1,1.0,1
,,,,0,5,0.5,2
,,,,20000,,0.4987938890377915,3731
,,,,20000,0,0.46875,352
,,,,20000,1,0.49566955363091275,1501
,,,,20000,5,0.5069222577209798,1878
,,,,50000,,0.5195026816187226,8204
,,,,50000,0,0.5391527599486521,779
,,,,50000,1,0.5044166920499543,3283
,,,,50000,5,0.527764365041043,4142
,,,,80000,,0.6129032258064516,62
,,,,80000,0,0.8333333333333334,6
,,,,80000,1,0.6129032258064516,31
,,,,80000,5,0.56,25
,,,married,,,0.5891586437840101,4778
,,,married,,0,0.5939675174013921,431
,,,married,,1,0.5756646216768916,1956
,,,married,,5,0.5993308239230447,2391
,,,married,0,,1.0,2
,,,married,0,0,nan,0
,,,married,0,1,1.0,1
,,,married,0,5,1.0,1
,,,married,20000,,0.5705563093622795,1474
,,,married,20000,0,0.5255474452554745,137
,,,married,20000,1,0.5838709677419355,620
,,,married,20000,5,0.5676429567642957,717
,,,married,50000,,0.5959780621572212,3282
,,,married,50000,0,0.6232876712328768,292
,,,married,50000,1,0.5697061039939714,1327
,,,married,50000,5,0.6121467227901383,1663
,,,married,80000,,0.8,20
,,,married,80000,0,1.0,2
,,,married,80000,1,0.875,8
,,,married,80000,5,0.7,10
,,,single,,,0.4635834948767654,7222
,,,single,,0,0.4730878186968839,706
,,,single,,1,0.45244755244755247,2860
,,,single,,5,0.47045951859956237,3656
,,,single,0,,0.0,1
,,,single,0,0,nan,0
,,,single,0,1,nan,0
,,,single,0,5,0.0,1
,,,single,20000,,0.4519273371732388,2257
,,,single,20000,0,0.4325581395348837,215
,,,single,20000,1,0.4335981838819523,881
,,,single,20000,5,0.4694229112833764,1161
,,,single,50000,,0.4685087362860626,4922
,,,single,50000,0,0.4887063655030801,487
,,,single,50000,1,0.4601226993865031,1956
,,,single,50000,5,0.47115772488906815,2479
,,,single,80000,,0.5238095238095238,42
,,,single,80000,0,0.75,4
,,,single,80000,1,0.5217391304347826,23
,,,single,80000,5,0.4666666666666667,15
,,0,,,,0.40358744394618834,446
,,0,,,0,0.4909090909090909,55
,,0,,,1,0.35714285714285715,154
,,0,,,5,0.41350210970464135,237
,,0,,0,,nan,0
,,0,,0,0,nan,0
,,0,,0,1,nan,0
,,0,,0,5,nan,0
,,0,,20000,,0.32413793103448274,145
,,0,,20000,0,0.43478260869565216,23
,,0,,20000,1,0.2692307692307692,52
,,0,,20000,5,0.32857142857142857,70
,,0,,50000,,0.4395973154362416,298
,,0,,50000,0,0.5161290322580645,31
,,0,,50000,1,0.40594059405940597,101
,,0,,50000,5,0.4457831325301205,166
,,0,,80000,,0.6666666666666666,3
,,0,,80000,0,1.0,1
,,0,,80000,1,0.0,1
,,0,,80000,5,1.0,1
,,0,married,,,0.14285714285714285,14
,,0,married,,0,0.0,2
,,0,married,,1,0.3333333333333333,3
,,0,married,,5,0.1111111111111111,9
,,0,married,0,,nan,0
,,0,married,0,0,nan,0
,,0,married,0,1,nan,0
,,0,married,0,5,nan,0
,,0,married,20000,,0.125,8
,,0,married,20000,0,0.0,2
,,0,married,20000,1,0.0,1
,,0,married,20000,5,0.2,5
