treatment, sex, age  , marital_status, income , accidents, retention          , number_of_clients
         ,    ,      ,               ,        ,          , 0.5109166666666667 ,             12000
         ,    ,      ,               ,        , low      , 0.5218765192027224 ,              4114
         ,    ,      ,               ,        , medium   , 0.4912751677852349 ,              3725
         ,    ,      ,               ,        , high     , 0.517664023071377  ,              4161
         ,    ,      ,               , <20k   ,          , 0.46090108751942   ,              1931
         ,    ,      ,               , <20k   , low      , 0.4836309523809524 ,               672
         ,    ,      ,               , <20k   , medium   , 0.4288079470198676 ,               604
         ,    ,      ,               , <20k   , high     , 0.467175572519084  ,               655
         ,    ,      ,               , 20k-50k,          , 0.5163430818382895 ,              4069
         ,    ,      ,               , 20k-50k, low      , 0.5207736389684814 ,              1396
         ,    ,      ,               , 20k-50k, medium   , 0.48844621513944225,              1255
         ,    ,      ,               , 20k-50k, high     , 0.5366713681241185 ,              1418
         ,    ,      ,               , 50k-80k,          , 0.5105454545454545 ,              4125
         ,    ,      ,               , 50k-80k, low      , 0.5286123032904149 ,              1398
         ,    ,      ,               , 50k-80k, medium   , 0.49805749805749805,              1287
         ,    ,      ,               , 50k-80k, high     , 0.5041666666666667 ,              1440
         ,    ,      ,               , 80k+   ,          , 0.5514666666666667 ,              1875
         ,    ,      ,               , 80k+   , low      , 0.5493827160493827 ,               648
         ,    ,      ,               , 80k+   , medium   , 0.5474956822107081 ,               579
         ,    ,      ,               , 80k+   , high     , 0.5570987654320988 ,               648
         ,    ,      , married       ,        ,          , 0.5828118481435127 ,              4794
         ,    ,      , married       ,        , low      , 0.5980511571254568 ,              1642
         ,    ,      , married       ,        , medium   , 0.5552542372881356 ,              1475
         ,    ,      , married       ,        , high     , 0.592128801431127  ,              1677
         ,    ,      , married       , <20k   ,          , 0.5162162162162162 ,               740
         ,    ,      , married       , <20k   , low      , 0.5583941605839416 ,               274
         ,    ,      , married       , <20k   , medium   , 0.5                ,               214
         ,    ,      , married       , <20k   , high     , 0.48412698412698413,               252
         ,    ,      , married       , 20k-50k,          , 0.583941605839416  ,              1644
         ,    ,      , married       , 20k-50k, low      , 0.590990990990991  ,               555
         ,    ,      , married       , 20k-50k, medium   , 0.5395256916996047 ,               506
         ,    ,      , married       , 20k-50k, high     , 0.6157804459691252 ,               583
         ,    ,      , married       , 50k-80k,          , 0.5788842231553689 ,              1667
         ,    ,      , married       , 50k-80k, low      , 0.5813953488372093 ,               559
         ,    ,      , married       , 50k-80k, medium   , 0.5621414913957935 ,               523
         ,    ,      , married       , 50k-80k, high     , 0.5914529914529915 ,               585
         ,    ,      , married       , 80k+   ,          , 0.6554508748317631 ,               743
         ,    ,      , married       , 80k+   , low      , 0.6929133858267716 ,               254
         ,    ,      , married       , 80k+   , medium   , 0.625              ,               232
         ,    ,      , married       , 80k+   , high     , 0.6459143968871596 ,               257
         ,    ,      , single        ,        ,          , 0.4630863169580905 ,              7206
         ,    ,      , single        ,        , low      , 0.47127831715210355,              2472
         ,    ,      , single        ,        , medium   , 0.4493333333333333 ,              2250
         ,    ,      , single        ,        , high     , 0.4673913043478261 ,              2484
         ,    ,      , single        , <20k   ,          , 0.4265323257766583 ,              1191
         ,    ,      , single        , <20k   , low      , 0.4321608040201005 ,               398
         ,    ,      , single        , <20k   , medium   , 0.38974358974358975,               390
         ,    ,      , single        , <20k   , high     , 0.456575682382134  ,               403
         ,    ,      , single        , 20k-50k,          , 0.4705154639175258 ,              2425
         ,    ,      , single        , 20k-50k, low      , 0.47443519619500596,               841
         ,    ,      , single        , 20k-50k, medium   , 0.4539385847797063 ,               749
         ,    ,      , single        , 20k-50k, high     , 0.481437125748503  ,               835
         ,    ,      , single        , 50k-80k,          , 0.4641985353946298 ,              2458
         ,    ,      , single        , 50k-80k, low      , 0.4934445768772348 ,               839
         ,    ,      , single        , 50k-80k, medium   , 0.45418848167539266,               764
         ,    ,      , single        , 50k-80k, high     , 0.4444444444444444 ,               855
         ,    ,      , single        , 80k+   ,          , 0.4832155477031802 ,              1132
         ,    ,      , single        , 80k+   , low      , 0.45685279187817257,               394
         ,    ,      , single        , 80k+   , medium   , 0.4956772334293948 ,               347
         ,    ,      , single        , 80k+   , high     , 0.49872122762148335,               391
         ,    , <20  ,               ,        ,          , 0.3620309050772627 ,               453
         ,    , <20  ,               ,        , low      , 0.3401360544217687 ,               147
         ,    , <20  ,               ,        , medium   , 0.3851851851851852 ,               135
         ,    , <20  ,               ,        , high     , 0.36257309941520466,               171
         ,    , <20  ,               , <20k   ,          , 0.34328358208955223,                67
         ,    , <20  ,               , <20k   , low      , 0.47619047619047616,                21
         ,    , <20  ,               , <20k   , medium   , 0.2916666666666667 ,                24
         ,    , <20  ,               , <20k   , high     , 0.2727272727272727 ,                22
         ,    , <20  ,               , 20k-50k,          , 0.3790849673202614 ,               153
         ,    , <20  ,               , 20k-50k, low      , 0.2692307692307692 ,                52
         ,    , <20  ,               , 20k-50k, medium   , 0.46511627906976744,                43
         ,    , <20  ,               , 20k-50k, high     , 0.41379310344827586,                58
         ,    , <20  ,               , 50k-80k,          , 0.32666666666666666,               150
         ,    , <20  ,               , 50k-80k, low      , 0.2608695652173913 ,                46
         ,    , <20  ,               , 50k-80k, medium   , 0.375              ,                48
         ,    , <20  ,               , 50k-80k, high     , 0.3392857142857143 ,                56
         ,    , <20  ,               , 80k+   ,          , 0.40963855421686746,                83
         ,    , <20  ,               , 80k+   , low      , 0.5                ,                28
         ,    , <20  ,               , 80k+   , medium   , 0.35               ,                20
         ,    , <20  ,               , 80k+   , high     , 0.37142857142857144,                35
         ,    , <20  , married       ,        ,          , 0.7777777777777778 ,                 9
         ,    , <20  , married       ,        , low      , 1.0                ,                 1
         ,    , <20  , married       ,        , medium   , 0.75               ,                 4
         ,    , <20  , married       ,        , high     , 0.75               ,                 4
         ,    , <20  , married       , <20k   ,          , 1.0                ,                 2
         ,    , <20  , married       , <20k   , low      , 1.0                ,                 1
         ,    , <20  , married       , <20k   , medium   , 1.0                ,                 1
         ,    , <20  , married       , <20k   , high     , nan                ,                 0
         ,    , <20  , married       , 20k-50k,          , 0.8                ,                 5
         ,    , <20  , married       , 20k-50k, low      , nan                ,                 0
         ,    , <20  , married       , 20k-50k, medium   , 0.6666666666666666 ,                 3
         ,    , <20  , married       , 20k-50k, high     , 1.0                ,                 2
         ,    , <20  , married       , 50k-80k,          , 0.0                ,                 1
         ,    , <20  , married       , 50k-80k, low      , nan                ,                 0
         ,    , <20  , married       , 50k-80k, medium   , nan                ,                 0
         ,    , <20  , married       , 50k-80k, high     , 0.0                ,                 1
         ,    , <20  , married       , 80k+   ,          , 1.0                ,                 1
         ,    , <20  , married       , 80k+   , low      , nan                ,                 0
         ,    , <20  , married       , 80k+   , medium   , nan                ,                 0
         ,    , <20  , married       , 80k+   , high     , 1.0                ,                 1
         ,    , <20  , single        ,        ,          , 0.3536036036036036 ,               444
         ,    , <20  , single        ,        , low      , 0.3356164383561644 ,               146
         ,    , <20  , single        ,        , medium   , 0.37404580152671757,               131
         ,    , <20  , single        ,        , high     , 0.3532934131736527 ,               167
         ,    , <20  , single        , <20k   ,          , 0.3230769230769231 ,                65
         ,    , <20  , single        , <20k   , low      , 0.45               ,                20
         ,    , <20  , single        , <20k   , medium   , 0.2608695652173913 ,                23
         ,    , <20  , single        , <20k   , high     , 0.2727272727272727 ,                22
         ,    , <20  , single        , 20k-50k,          , 0.36486486486486486,               148
         ,    , <20  , single        , 20k-50k, low      , 0.2692307692307692 ,                52
         ,    , <20  , single        , 20k-50k, medium   , 0.45               ,                40
         ,    , <20  , single        , 20k-50k, high     , 0.39285714285714285,                56
         ,    , <20  , single        , 50k-80k,          , 0.3288590604026846 ,               149
         ,    , <20  , single        , 50k-80k, low      , 0.2608695652173913 ,                46
         ,    , <20  , single        , 50k-80k, medium   , 0.375              ,                48
         ,    , <20  , single        , 50k-80k, high     , 0.34545454545454546,                55
         ,    , <20  , single        , 80k+   ,          , 0.4024390243902439 ,                82
         ,    , <20  , single        , 80k+   , low      , 0.5                ,                28
         ,    , <20  , single        , 80k+   , medium   , 0.35               ,                20
         ,    , <20  , single        , 80k+   , high     , 0.35294117647058826,                34
         ,    , 20-39,               ,        ,          , 0.43847525635309853,              4486
         ,    , 20-39,               ,        , low      , 0.44911359159553516,              1523
         ,    , 20-39,               ,        , medium   , 0.4213881019830028 ,              1412
         ,    , 20-39,               ,        , high     , 0.4435847840103159 ,              1551
         ,    , 20-39,               , <20k   ,          , 0.39972527472527475,               728
         ,    , 20-39,               , <20k   , low      , 0.4090909090909091 ,               242
         ,    , 20-39,               , <20k   , medium   , 0.3775933609958506 ,               241
         ,    , 20-39,               , <20k   , high     , 0.4122448979591837 ,               245
         ,    , 20-39,               , 20k-50k,          , 0.4445191661062542 ,              1487
         ,    , 20-39,               , 20k-50k, low      , 0.4437869822485207 ,               507
         ,    , 20-39,               , 20k-50k, medium   , 0.42567567567567566,               444
         ,    , 20-39,               , 20k-50k, high     , 0.4608208955223881 ,               536
         ,    , 20-39,               , 50k-80k,          , 0.4384517766497462 ,              1576
         ,    , 20-39,               , 50k-80k, low      , 0.4734848484848485 ,               528
         ,    , 20-39,               , 50k-80k, medium   , 0.4215686274509804 ,               510
         ,    , 20-39,               , 50k-80k, high     , 0.4200743494423792 ,               538
         ,    , 20-39,               , 80k+   ,          , 0.46618705035971225,               695
         ,    , 20-39,               , 80k+   , low      , 0.44715447154471544,               246
         ,    , 20-39,               , 80k+   , medium   , 0.4608294930875576 ,               217
         ,    , 20-39,               , 80k+   , high     , 0.49137931034482757,               232
         ,    , 20-39, married       ,        ,          , 0.48451327433628316,               452
         ,    , 20-39, married       ,        , low      , 0.46938775510204084,               147
         ,    , 20-39, married       ,        , medium   , 0.4925373134328358 ,               134
         ,    , 20-39, married       ,        , high     , 0.49122807017543857,               171
         ,    , 20-39, married       , <20k   ,          , 0.44285714285714284,                70
         ,    , 20-39, married       , <20k   , low      , 0.4375             ,                16
         ,    , 20-39, married       , <20k   , medium   , 0.5                ,                22
         ,    , 20-39, married       , <20k   , high     , 0.40625            ,                32
         ,    , 20-39, married       , 20k-50k,          , 0.5035460992907801 ,               141
         ,    , 20-39, married       , 20k-50k, low      , 0.48               ,                50
         ,    , 20-39, married       , 20k-50k, medium   , 0.5                ,                38
         ,    , 20-39, married       , 20k-50k, high     , 0.5283018867924528 ,                53
         ,    , 20-39, married       , 50k-80k,          , 0.4519774011299435 ,               177
         ,    , 20-39, married       , 50k-80k, low      , 0.4444444444444444 ,                54
         ,    , 20-39, married       , 50k-80k, medium   , 0.43333333333333335,                60
         ,    , 20-39, married       , 50k-80k, high     , 0.47619047619047616,                63
         ,    , 20-39, married       , 80k+   ,          , 0.578125           ,                64
         ,    , 20-39, married       , 80k+   , low      , 0.5185185185185185 ,                27
         ,    , 20-39, married       , 80k+   , medium   , 0.7142857142857143 ,                14
         ,    , 20-39, married       , 80k+   , high     , 0.5652173913043478 ,                23
         ,    , 20-39, single        ,        ,          , 0.4333168071393158 ,              4034
         ,    , 20-39, single        ,        , low      , 0.44694767441860467,              1376
         ,    , 20-39, single        ,        , medium   , 0.4139280125195618 ,              1278
         ,    , 20-39, single        ,        , high     , 0.43768115942028984,              1380
         ,    , 20-39, single        , <20k   ,          , 0.3951367781155015 ,               658
         ,    , 20-39, single        , <20k   , low      , 0.40707964601769914,               226
         ,    , 20-39, single        , <20k   , medium   , 0.365296803652968  ,               219
         ,    , 20-39, single        , <20k   , high     , 0.4131455399061033 ,               213
         ,    , 20-39, single        , 20k-50k,          , 0.43833580980683506,              1346
         ,    , 20-39, single        , 20k-50k, low      , 0.43982494529540483,               457
         ,    , 20-39, single        , 20k-50k, medium   , 0.4187192118226601 ,               406
         ,    , 20-39, single        , 20k-50k, high     , 0.453416149068323  ,               483
         ,    , 20-39, single        , 50k-80k,          , 0.4367405289492495 ,              1399
         ,    , 20-39, single        , 50k-80k, low      , 0.4767932489451477 ,               474
         ,    , 20-39, single        , 50k-80k, medium   , 0.42               ,               450
         ,    , 20-39, single        , 50k-80k, high     , 0.4126315789473684 ,               475
         ,    , 20-39, single        , 80k+   ,          , 0.4548335974643423 ,               631
         ,    , 20-39, single        , 80k+   , low      , 0.4383561643835616 ,               219
         ,    , 20-39, single        , 80k+   , medium   , 0.4433497536945813 ,               203
         ,    , 20-39, single        , 80k+   , high     , 0.48325358851674644,               209
         ,    , 40-59,               ,        ,          , 0.5463489287275908 ,              4574
         ,    , 40-59,               ,        , low      , 0.5512412476129853 ,              1571
         ,    , 40-59,               ,        , medium   , 0.5415778251599147 ,              1407
         ,    , 40-59,               ,        , high     , 0.5457393483709273 ,              1596
         ,    , 40-59,               , <20k   ,          , 0.4865229110512129 ,               742
         ,    , 40-59,               , <20k   , low      , 0.5019305019305019 ,               259
         ,    , 40-59,               , <20k   , medium   , 0.45535714285714285,               224
         ,    , 40-59,               , <20k   , high     , 0.4980694980694981 ,               259
         ,    , 40-59,               , 20k-50k,          , 0.5576441102756893 ,              1596
         ,    , 40-59,               , 20k-50k, low      , 0.5622710622710623 ,               546
         ,    , 40-59,               , 20k-50k, medium   , 0.5324165029469549 ,               509
         ,    , 40-59,               , 20k-50k, high     , 0.5767097966728281 ,               541
         ,    , 40-59,               , 50k-80k,          , 0.5455729166666666 ,              1536
         ,    , 40-59,               , 50k-80k, low      , 0.5540796963946869 ,               527
         ,    , 40-59,               , 50k-80k, medium   , 0.5534188034188035 ,               468
         ,    , 40-59,               , 50k-80k, high     , 0.5304990757855823 ,               541
         ,    , 40-59,               , 80k+   ,          , 0.5857142857142857 ,               700
         ,    , 40-59,               , 80k+   , low      , 0.5732217573221757 ,               239
         ,    , 40-59,               , 80k+   , medium   , 0.6310679611650486 ,               206
         ,    , 40-59,               , 80k+   , high     , 0.5607843137254902 ,               255
         ,    , 40-59, married       ,        ,          , 0.5771479982006298 ,              2223
         ,    , 40-59, married       ,        , low      , 0.5926412614980289 ,               761
         ,    , 40-59, married       ,        , medium   , 0.5662299854439592 ,               687
         ,    , 40-59, married       ,        , high     , 0.5716129032258065 ,               775
         ,    , 40-59, married       , <20k   ,          , 0.5042735042735043 ,               351
         ,    , 40-59, married       , <20k   , low      , 0.5474452554744526 ,               137
         ,    , 40-59, married       , <20k   , medium   , 0.49               ,               100
         ,    , 40-59, married       , <20k   , high     , 0.4649122807017544 ,               114
         ,    , 40-59, married       , 20k-50k,          , 0.5892857142857143 ,               784
         ,    , 40-59, married       , 20k-50k, low      , 0.5868725868725869 ,               259
         ,    , 40-59, married       , 20k-50k, medium   , 0.5673469387755102 ,               245
         ,    , 40-59, married       , 20k-50k, high     , 0.6107142857142858 ,               280
         ,    , 40-59, married       , 50k-80k,          , 0.5729442970822282 ,               754
         ,    , 40-59, married       , 50k-80k, low      , 0.5787401574803149 ,               254
         ,    , 40-59, married       , 50k-80k, medium   , 0.5702479338842975 ,               242
         ,    , 40-59, married       , 50k-80k, high     , 0.5697674418604651 ,               258
         ,    , 40-59, married       , 80k+   ,          , 0.6347305389221557 ,               334
         ,    , 40-59, married       , 80k+   , low      , 0.6936936936936937 ,               111
         ,    , 40-59, married       , 80k+   , medium   , 0.63               ,               100
         ,    , 40-59, married       , 80k+   , high     , 0.5853658536585366 ,               123
         ,    , 40-59, single        ,        ,          , 0.5172267120374309 ,              2351
         ,    , 40-59, single        ,        , low      , 0.5123456790123457 ,               810
         ,    , 40-59, single        ,        , medium   , 0.5180555555555556 ,               720
         ,    , 40-59, single        ,        , high     , 0.5213154689403167 ,               821
         ,    , 40-59, single        , <20k   ,          , 0.47058823529411764,               391
         ,    , 40-59, single        , <20k   , low      , 0.45081967213114754,               122
         ,    , 40-59, single        , <20k   , medium   , 0.4274193548387097 ,               124
         ,    , 40-59, single        , <20k   , high     , 0.5241379310344828 ,               145
         ,    , 40-59, single        , 20k-50k,          , 0.5270935960591133 ,               812
         ,    , 40-59, single        , 20k-50k, low      , 0.5400696864111498 ,               287
         ,    , 40-59, single        , 20k-50k, medium   , 0.5                ,               264
         ,    , 40-59, single        , 20k-50k, high     , 0.5402298850574713 ,               261
         ,    , 40-59, single        , 50k-80k,          , 0.5191815856777494 ,               782
         ,    , 40-59, single        , 50k-80k, low      , 0.5311355311355311 ,               273
         ,    , 40-59, single        , 50k-80k, medium   , 0.5353982300884956 ,               226
         ,    , 40-59, single        , 50k-80k, high     , 0.49469964664310956,               283
         ,    , 40-59, single        , 80k+   ,          , 0.5409836065573771 ,               366
         ,    , 40-59, single        , 80k+   , low      , 0.46875            ,               128
         ,    , 40-59, single        , 80k+   , medium   , 0.6320754716981132 ,               106
         ,    , 40-59, single        , 80k+   , high     , 0.5378787878787878 ,               132
         ,    , 60+  ,               ,        ,          , 0.6035383996783273 ,              2487
         ,    , 60+  ,               ,        , low      , 0.6265750286368843 ,               873
         ,    , 60+  ,               ,        , medium   , 0.5460440985732814 ,               771
         ,    , 60+  ,               ,        , high     , 0.6322657176749703 ,               843
         ,    , 60+  ,               , <20k   ,          , 0.5456852791878173 ,               394
         ,    , 60+  ,               , <20k   , low      , 0.5733333333333334 ,               150
         ,    , 60+  ,               , <20k   , medium   , 0.5130434782608696 ,               115
         ,    , 60+  ,               , <20k   , high     , 0.5426356589147286 ,               129
         ,    , 60+  ,               , 20k-50k,          , 0.5906362545018007 ,               833
         ,    , 60+  ,               , 20k-50k, low      , 0.6219931271477663 ,               291
         ,    , 60+  ,               , 20k-50k, medium   , 0.5135135135135135 ,               259
         ,    , 60+  ,               , 20k-50k, high     , 0.6289752650176679 ,               283
         ,    , 60+  ,               , 50k-80k,          , 0.6118192352259559 ,               863
         ,    , 60+  ,               , 50k-80k, low      , 0.622895622895623  ,               297
         ,    , 60+  ,               , 50k-80k, medium   , 0.5708812260536399 ,               261
         ,    , 60+  ,               , 50k-80k, high     , 0.6360655737704918 ,               305
         ,    , 60+  ,               , 80k+   ,          , 0.6700251889168766 ,               397
         ,    , 60+  ,               , 80k+   , low      , 0.7037037037037037 ,               135
         ,    , 60+  ,               , 80k+   , medium   , 0.5882352941176471 ,               136
         ,    , 60+  ,               , 80k+   , high     , 0.7222222222222222 ,               126
         ,    , 60+  , married       ,        ,          , 0.6090047393364929 ,              2110
